"case_id","gender","country","at1","at2","at3","at4","pb1","sn1","sn2","sn3","sn4","pb2","pb3","pb4","bi1","bi2","bi3","be1","be2","be3"
"Case 250","Male","Country B",5,5,6,5,5,5,6,6,6,6,5,4,3,2,4,2,4,5
"Case 251","Male","Country B",7,4,6,5,5,5,8,4,6,6,7,5,4,2,5,4,3,5
"Case 252","Male","Country A",4,7,4,4,4,5,6,4,6,6,5,4,4,2,5,4,3,5
"Case 253","Female","Country A",5,5,5,5,5,4,6,4,5,7,7,6,3,3,5,3,3,4
"Case 254","Male","Country A",6,6,5,3,4,6,7,4,6,6,6,6,2,4,4,2,3,5
"Case 255","Male","Country C",4,5,4,4,3,4,6,5,5,5,6,5,2,3,3,2,2,3
"Case 256","Female","Country B",6,5,6,4,5,4,5,5,5,5,6,6,2,4,4,1,3,3
"Case 257","Female","Country C",5,6,5,4,5,4,6,5,5,5,6,5,2,4,4,3,2,3
"Case 258","Female","Country C",6,5,6,5,4,5,6,4,6,6,6,6,4,2,5,3,4,5
"Case 259","Female","Country B",6,4,6,5,5,5,6,4,6,6,7,6,3,2,5,4,4,5
"Case 260","Male","Country C",5,5,3,4,4,4,5,5,5,4,5,5,3,3,5,4,3,4
"Case 261","Female","Country B",7,5,6,4,5,5,6,5,6,6,6,5,3,3,6,4,4,5
"Case 262","Female","Country C",6,5,6,5,4,3,5,5,5,6,5,5,3,4,4,3,3,5
"Case 263","Female","Country B",6,5,6,4,4,4,5,5,5,6,4,6,3,3,4,3,3,4
"Case 264","Female","Country A",5,5,5,4,4,4,6,5,5,5,5,5,3,3,5,3,4,5
"Case 265","Male","Country B",5,5,5,5,4,4,6,5,5,6,8,4,3,4,4,4,4,4
"Case 266","Male","Country C",5,5,5,5,6,4,6,5,5,5,7,4,2,4,4,3,2,5
"Case 267","Female","Country A",6,5,5,5,4,5,6,4,6,6,6,5,2,3,4,3,4,5
"Case 268","Male","Country C",6,5,6,5,4,5,7,5,6,6,6,6,3,3,4,3,3,5
"Case 269","Female","Country A",5,5,6,5,5,5,6,4,6,6,6,4,3,3,5,3,3,5
"Case 270","Female","Country A",5,5,6,4,5,5,7,4,6,8,7,5,3,4,4,4,4,5
"Case 271","Male","Country B",4,5,3,4,4,4,6,6,6,6,6,4,3,3,5,3,2,3
"Case 272","Female","Country C",6,5,6,5,5,4,5,4,5,6,5,5,3,3,5,3,3,5
"Case 273","Female","Country B",4,5,4,4,5,5,7,4,6,6,6,4,3,3,5,4,4,4
"Case 274","Male","Country A",6,5,5,4,5,5,5,6,6,6,7,5,2,3,4,4,4,5
"Case 275","Male","Country B",5,5,6,4,5,4,6,4,5,6,6,5,3,3,5,2,3,4
"Case 276","Male","Country B",6,4,7,5,4,4,6,6,6,6,6,6,2,3,5,2,3,5
"Case 277","Female","Country C",6,4,6,4,4,4,7,4,5,5,5,6,3,3,4,2,4,5
"Case 278","Female","Country C",5,6,8,4,5,5,7,5,6,5,7,4,3,3,4,2,3,5
"Case 279","Male","Country B",6,5,6,5,5,4,6,5,6,6,7,5,2,3,5,3,3,4
"Case 280","Female","Country A",6,5,6,5,5,4,7,4,5,6,5,7,4,3,5,3,4,5
"Case 281","Male","Country A",6,5,6,4,5,4,5,5,4,7,6,6,3,3,4,4,2,5
"Case 282","Male","Country B",7,5,6,5,5,4,7,6,5,7,7,4,4,2,5,4,3,5
"Case 283","Male","Country C",6,5,4,5,4,5,7,4,6,5,6,5,3,2,5,3,3,5
"Case 284","Male","Country A",6,6,6,5,6,4,7,6,5,6,8,5,3,4,5,3,4,6
"Case 285","Male","Country C",6,5,7,4,4,4,6,5,5,5,5,5,2,3,4,2,3,4
"Case 286","Male","Country B",5,6,6,4,5,4,5,5,5,6,6,6,3,3,5,2,3,5
"Case 287","Male","Country C",5,6,6,3,3,4,5,5,5,5,5,5,2,4,4,2,3,4
"Case 288","Female","Country C",5,6,4,4,4,3,4,6,5,6,6,5,2,3,3,2,2,3
"Case 289","Female","Country B",6,5,6,4,5,4,7,3,5,6,6,5,3,3,5,4,3,4
"Case 290","Female","Country C",6,4,6,5,5,4,5,5,5,7,7,6,3,3,6,4,4,5
"Case 291","Female","Country A",5,5,4,4,5,4,6,5,5,6,7,5,3,3,4,3,4,5
"Case 292","Male","Country A",6,5,5,4,5,4,5,5,5,5,6,5,3,3,5,3,3,4
"Case 293","Female","Country B",6,3,6,5,5,5,5,6,6,5,7,5,3,2,5,3,3,4
"Case 294","Male","Country C",5,6,7,4,4,5,7,4,6,5,5,6,3,3,4,3,3,4
"Case 295","Female","Country B",6,5,6,4,7,4,6,5,5,7,7,5,3,3,5,3,4,5
"Case 296","Male","Country C",7,5,7,5,4,4,5,5,5,6,6,5,3,2,4,3,4,5
"Case 297","Male","Country C",6,5,7,4,4,6,7,5,6,5,5,5,3,3,5,3,3,5
"Case 298","Male","Country B",5,6,6,3,4,5,5,5,6,7,7,5,3,4,4,3,3,5
"Case 299","Female","Country B",6,5,6,6,5,4,5,6,5,5,6,5,3,3,4,4,3,5
"Case 300","Female","Country B",6,5,5,4,5,5,7,4,6,7,7,5,3,3,4,3,4,4
"Case 301","Male","Country B",5,6,7,5,4,4,4,5,5,5,4,7,3,3,4,2,3,4
"Case 302","Female","Country B",6,5,5,4,4,3,5,6,4,6,5,5,2,3,4,2,3,5
"Case 303","Male","Country B",6,4,5,5,5,4,6,6,5,7,6,4,3,3,5,3,4,5
"Case 304","Female","Country A",6,5,7,5,5,5,6,3,6,7,6,5,4,3,5,4,5,4
"Case 305","Male","Country A",6,4,7,3,4,5,7,4,6,6,5,5,3,3,5,2,4,4
"Case 306","Female","Country C",5,5,5,5,5,5,5,5,6,6,5,5,3,3,5,2,3,4
"Case 307","Female","Country A",6,5,5,6,5,4,6,5,5,6,7,5,3,3,5,3,3,4
"Case 308","Male","Country C",5,5,6,5,4,4,5,5,5,4,5,5,3,3,5,4,3,5
"Case 309","Female","Country C",6,5,6,5,6,4,5,5,5,7,6,4,3,3,5,4,4,6
"Case 310","Female","Country B",5,6,3,4,5,4,4,5,5,6,6,5,3,3,3,3,3,3
"Case 311","Male","Country A",5,6,4,5,4,5,6,4,6,5,6,5,3,4,5,3,3,4
"Case 312","Male","Country A",5,6,6,5,4,5,7,4,6,5,5,5,3,3,5,5,3,5
"Case 313","Female","Country A",6,6,5,4,4,3,6,6,5,6,7,6,2,3,4,3,2,4
"Case 314","Female","Country C",6,4,6,4,5,4,5,5,5,6,6,6,2,4,5,2,2,5
"Case 315","Female","Country C",7,5,6,5,4,6,7,5,6,6,4,5,3,2,5,3,3,5
"Case 316","Female","Country B",5,5,6,5,4,4,5,4,5,6,6,6,2,3,4,4,3,5
"Case 317","Female","Country A",6,5,6,5,4,5,6,4,6,6,5,5,4,2,6,4,3,6
"Case 318","Female","Country A",6,6,5,5,5,6,7,4,7,6,6,5,2,4,4,4,3,4
"Case 319","Female","Country A",6,5,6,6,4,4,6,5,5,5,6,4,3,2,5,4,4,5
"Case 320","Female","Country C",5,5,5,5,4,5,7,5,6,5,6,4,3,3,4,3,4,5
"Case 321","Male","Country A",5,6,5,4,5,4,7,5,5,6,6,5,2,4,4,4,3,5
"Case 322","Female","Country B",5,5,6,5,4,4,5,6,5,5,5,6,3,3,4,3,4,4
"Case 323","Female","Country A",6,5,5,4,4,5,6,5,6,7,6,6,2,3,4,3,3,4
"Case 324","Male","Country C",6,6,5,4,4,4,6,5,5,5,4,6,3,3,5,3,3,2
"Case 325","Female","Country B",5,6,5,5,5,4,5,6,5,7,7,4,3,2,5,4,4,4
"Case 326","Male","Country B",5,4,5,5,6,4,6,5,5,7,8,5,4,2,6,4,4,5
"Case 327","Female","Country B",7,5,8,5,6,5,6,5,6,6,6,5,3,3,5,3,4,5
"Case 328","Female","Country C",5,4,6,5,5,5,6,5,6,6,7,5,2,3,4,4,4,6
"Case 329","Male","Country C",5,5,6,4,4,3,4,6,5,7,4,6,3,4,3,3,3,4
"Case 330","Female","Country B",6,5,6,4,5,3,5,4,4,6,6,5,3,3,4,3,3,5
"Case 331","Female","Country B",5,4,5,4,5,3,5,5,4,6,7,4,3,3,5,3,4,5
"Case 332","Male","Country A",5,5,5,4,4,3,5,6,5,6,7,6,2,4,3,4,3,4
"Case 333","Male","Country A",6,5,4,4,5,6,6,5,6,7,5,5,3,3,4,4,5,5
"Case 334","Male","Country A",6,5,5,5,6,5,6,5,6,6,6,4,3,2,5,3,3,4
"Case 335","Male","Country B",5,4,6,4,5,5,6,5,5,5,7,5,2,4,4,4,4,4
"Case 336","Male","Country C",5,4,7,4,6,4,5,4,5,6,6,5,3,3,5,4,4,5
"Case 337","Male","Country B",6,5,5,4,5,5,5,6,6,6,8,5,3,3,4,2,3,5
"Case 338","Male","Country A",5,5,6,4,4,4,6,3,6,6,6,5,3,2,6,3,4,4
"Case 339","Male","Country A",4,5,5,4,5,3,5,5,4,6,6,5,2,4,3,2,3,4
"Case 340","Female","Country C",6,5,5,5,5,4,5,5,6,7,6,5,2,4,3,3,4,5
"Case 341","Male","Country C",6,5,8,6,6,5,7,6,6,6,7,5,4,2,6,4,4,5
"Case 342","Female","Country C",5,5,5,4,4,4,6,5,5,6,4,5,3,2,5,3,3,4
"Case 343","Male","Country A",5,5,5,5,4,3,6,5,4,6,5,6,2,4,4,3,2,5
"Case 344","Female","Country B",5,5,5,4,4,4,6,6,5,6,6,5,3,3,5,4,4,6
"Case 345","Male","Country A",6,6,6,5,5,4,4,5,5,7,6,4,3,3,4,3,4,6
"Case 346","Female","Country A",5,6,7,4,5,4,5,4,5,7,6,6,3,3,4,3,2,4
"Case 347","Male","Country B",6,5,5,4,5,4,6,6,5,6,4,5,2,3,5,3,3,3
"Case 348","Female","Country A",5,5,6,4,2,5,7,5,6,4,5,5,3,3,4,2,3,4
"Case 349","Male","Country C",6,6,8,5,4,5,7,5,6,5,7,6,3,3,5,3,2,4
"Case 350","Male","Country A",6,5,5,4,3,4,5,5,5,6,5,6,3,3,5,3,3,5
"Case 351","Male","Country C",6,4,6,5,6,4,5,4,5,5,6,5,3,3,4,3,4,4
"Case 352","Female","Country B",6,6,6,3,3,4,5,5,5,4,5,5,3,3,5,3,3,4
"Case 353","Female","Country B",5,6,5,4,5,5,6,5,6,7,8,5,3,3,5,3,3,5
"Case 354","Female","Country C",5,6,5,4,5,4,5,6,5,6,5,5,2,3,3,3,3,4
"Case 355","Female","Country B",6,5,7,4,6,3,3,5,5,7,5,5,3,3,5,3,3,5
"Case 356","Male","Country B",5,4,5,5,4,4,6,4,6,5,5,5,2,3,5,3,4,6
"Case 357","Female","Country A",6,5,6,4,4,5,6,4,6,5,6,5,2,4,3,2,3,4
"Case 358","Female","Country B",6,5,5,4,4,3,4,5,5,5,7,6,2,3,4,3,2,4
"Case 359","Female","Country A",6,6,6,4,4,6,5,4,6,7,6,6,3,3,5,3,3,5
"Case 360","Female","Country B",6,5,6,5,4,5,6,3,5,6,6,6,3,3,5,4,4,6
"Case 361","Female","Country B",6,5,8,6,7,4,4,5,5,8,7,4,3,3,5,4,3,6
"Case 362","Male","Country B",5,6,8,4,4,5,5,6,6,6,6,5,3,3,4,4,3,4
"Case 363","Male","Country A",6,5,7,6,5,5,7,4,5,5,7,4,2,4,4,4,3,4
"Case 364","Female","Country A",6,4,4,4,4,4,6,5,5,5,5,6,2,3,4,4,3,4
"Case 365","Male","Country A",5,4,6,5,5,4,5,5,5,6,6,6,3,3,4,3,4,4
"Case 366","Female","Country A",5,6,3,4,4,4,6,5,5,6,4,5,3,2,5,4,2,4
"Case 367","Male","Country A",6,5,6,5,5,5,7,5,5,6,7,5,3,3,5,3,3,4
"Case 368","Female","Country A",5,5,5,4,5,4,6,6,5,6,5,4,2,4,3,2,2,4
"Case 369","Female","Country B",5,5,7,6,6,4,5,6,5,7,6,5,3,3,5,3,4,3
"Case 370","Male","Country B",4,4,4,5,5,4,5,4,5,6,5,6,2,3,5,3,4,4
"Case 371","Male","Country A",5,6,7,6,5,4,5,6,6,5,7,4,3,2,5,3,4,6
"Case 372","Female","Country A",6,5,8,5,5,5,6,4,6,7,6,6,3,3,4,3,4,3
"Case 373","Male","Country C",4,6,3,4,4,5,6,3,6,5,5,5,3,3,5,2,3,4
"Case 374","Male","Country B",5,5,5,4,3,6,6,5,6,5,3,6,3,3,5,3,3,3
"Case 375","Female","Country A",5,6,6,5,5,4,7,5,5,7,6,5,3,3,4,3,5,6
"Case 376","Female","Country A",5,5,5,4,5,5,5,4,6,7,7,6,3,3,4,3,4,4
"Case 377","Male","Country B",6,6,5,4,4,5,6,4,6,6,5,5,3,3,5,3,3,5
"Case 378","Female","Country B",6,5,7,4,5,4,5,5,5,5,6,5,3,3,3,3,3,4
"Case 379","Female","Country C",6,6,4,4,4,5,6,5,6,5,5,5,2,3,4,3,3,3
"Case 380","Male","Country A",5,6,5,5,4,5,7,4,6,6,7,5,3,3,5,3,3,5
"Case 381","Female","Country A",6,6,7,5,4,5,7,4,5,7,5,5,3,2,4,3,4,4
"Case 382","Female","Country C",6,5,5,5,4,4,5,6,5,6,5,5,3,3,4,3,5,4
"Case 383","Male","Country B",5,5,4,4,4,6,6,4,6,7,7,6,2,3,4,2,2,4
"Case 384","Female","Country C",5,5,5,4,4,5,7,6,6,5,6,6,3,3,4,3,3,4
"Case 385","Female","Country A",7,4,6,5,5,5,6,4,6,6,6,6,3,3,4,3,3,5
"Case 386","Male","Country A",5,6,5,4,4,5,6,4,6,6,5,6,2,3,4,2,4,4
"Case 387","Female","Country B",5,5,6,4,4,4,5,6,5,6,4,6,3,3,4,3,3,4
"Case 388","Female","Country A",6,5,7,4,4,4,5,5,5,5,6,5,3,2,5,3,4,4
"Case 389","Female","Country C",6,5,6,5,6,4,5,5,5,6,7,5,2,3,3,4,4,5
"Case 390","Male","Country A",6,5,5,5,6,3,5,7,4,6,6,4,3,2,5,4,3,5
"Case 391","Female","Country B",6,6,4,4,4,4,6,6,5,5,6,6,2,3,4,3,3,5
"Case 392","Male","Country A",5,5,5,4,3,4,5,5,5,5,6,5,2,4,3,3,3,5
"Case 393","Female","Country B",4,5,6,5,4,4,6,5,5,5,7,6,3,2,4,3,4,5
"Case 394","Male","Country B",6,5,8,4,3,5,6,5,6,6,3,6,2,4,4,4,4,4
"Case 395","Male","Country A",5,6,5,5,5,4,6,5,6,5,7,5,2,3,5,4,2,5
"Case 396","Male","Country B",6,5,5,5,4,4,6,4,5,5,6,4,4,2,5,3,3,5
"Case 397","Male","Country B",5,4,5,4,5,4,5,5,5,6,8,5,3,3,4,2,3,4
"Case 398","Male","Country C",5,6,5,5,5,4,6,5,5,6,8,5,3,3,4,3,3,4
"Case 399","Female","Country B",6,4,6,5,5,5,6,5,6,6,6,6,3,3,4,2,3,6
"Case 400","Male","Country C",5,4,8,4,5,5,7,5,5,6,5,5,3,3,5,2,3,5
"Case 401","Female","Country C",5,5,5,6,5,5,7,4,6,7,6,6,3,3,5,3,3,4
"Case 402","Male","Country A",6,5,6,3,4,4,6,5,5,5,6,6,2,4,3,2,1,3
"Case 403","Male","Country A",4,6,7,4,5,3,5,6,4,6,6,4,3,3,5,4,4,5
"Case 404","Male","Country B",6,5,6,5,5,5,7,4,5,5,5,4,4,2,4,4,4,5
"Case 405","Male","Country B",6,4,6,5,3,4,5,5,5,6,6,6,2,3,4,3,3,5
"Case 406","Male","Country C",5,5,6,5,6,4,4,6,5,5,5,4,3,3,5,4,3,5
"Case 407","Male","Country C",4,6,5,4,4,4,5,6,5,7,6,6,2,4,4,3,4,5
"Case 408","Female","Country A",6,5,6,4,5,4,8,4,5,5,6,6,2,4,4,3,3,4
"Case 409","Female","Country C",5,5,7,4,5,4,6,6,5,6,6,5,3,2,5,4,3,4
"Case 410","Male","Country A",6,6,6,4,4,5,6,6,6,6,5,5,2,3,4,3,3,4
"Case 411","Female","Country C",6,6,7,5,5,4,6,5,5,7,7,4,3,3,5,4,4,5
"Case 412","Female","Country B",5,6,5,3,3,4,5,5,5,5,4,5,2,3,4,2,3,3
"Case 413","Female","Country A",5,5,3,4,4,5,7,5,6,6,6,6,2,3,4,3,3,4
"Case 414","Male","Country A",5,5,6,5,5,5,7,4,6,6,7,4,3,3,4,3,3,5
"Case 415","Male","Country C",6,6,6,4,5,5,6,5,6,6,6,5,3,3,3,4,3,3
"Case 416","Female","Country C",7,5,7,5,5,5,7,5,5,5,5,5,3,4,6,3,3,4
"Case 417","Male","Country B",5,6,4,3,4,5,6,4,5,5,5,4,2,4,4,3,3,4
"Case 418","Female","Country C",6,5,6,5,5,5,6,5,5,7,6,5,3,3,3,4,2,5
"Case 419","Male","Country A",6,4,7,4,5,4,6,5,5,7,5,5,3,3,5,3,4,4
"Case 420","Male","Country C",6,5,5,3,4,6,7,4,7,6,5,6,4,2,6,3,4,4
"Case 421","Female","Country C",4,5,5,3,5,5,6,4,5,5,5,4,3,3,5,4,3,5
"Case 422","Male","Country B",6,5,7,5,5,5,5,4,6,7,6,5,4,3,5,4,3,5
"Case 423","Female","Country C",6,5,5,4,4,4,5,6,5,6,5,4,2,3,3,3,3,4
"Case 424","Male","Country A",6,5,6,5,5,4,6,5,5,5,6,4,3,3,4,2,3,5
"Case 425","Male","Country A",6,5,5,5,4,5,6,5,6,5,6,5,3,4,4,4,3,5
"Case 426","Female","Country A",4,5,4,4,3,3,6,6,5,5,4,7,3,4,4,2,2,4
"Case 427","Female","Country C",6,5,6,4,5,4,6,6,5,6,6,4,3,3,5,3,2,4
"Case 428","Female","Country B",6,6,6,4,4,5,6,5,6,5,5,5,3,4,5,3,3,5
"Case 429","Male","Country C",7,4,6,5,4,5,7,4,6,5,4,5,3,3,5,3,3,4
"Case 430","Male","Country A",6,5,7,5,6,4,5,6,5,6,6,4,3,3,5,3,3,4
"Case 431","Female","Country C",5,5,6,4,5,3,5,5,4,5,6,4,2,3,4,3,3,5
"Case 432","Male","Country B",5,5,5,4,4,5,6,5,6,6,6,5,3,2,5,4,4,5
"Case 433","Female","Country C",6,5,5,5,4,4,4,5,5,6,5,6,3,3,4,4,4,5
"Case 434","Female","Country B",6,5,6,5,5,4,5,5,5,6,6,6,2,3,4,3,4,4
"Case 435","Female","Country C",6,5,6,5,5,4,6,5,5,5,5,5,3,3,4,3,4,5
"Case 436","Female","Country B",6,4,7,6,5,5,6,5,6,6,5,4,4,3,5,4,4,4
"Case 437","Female","Country A",6,5,5,4,4,5,7,4,6,5,4,5,3,3,5,3,3,5
"Case 438","Male","Country A",5,5,6,4,5,6,6,4,6,7,4,6,3,2,5,4,3,5
"Case 439","Female","Country B",7,4,7,4,4,4,6,5,6,5,5,6,3,3,4,3,4,5
"Case 440","Female","Country A",6,5,6,5,4,5,6,4,6,6,5,6,3,3,4,3,3,4
"Case 441","Male","Country A",6,5,6,4,4,4,5,4,5,5,5,6,2,3,4,3,3,4
"Case 442","Male","Country B",6,5,7,4,5,4,6,6,5,5,6,5,2,4,4,3,3,4
"Case 443","Female","Country A",6,5,6,5,5,4,6,5,5,6,5,6,3,3,5,3,4,5
"Case 444","Male","Country C",6,5,7,5,5,4,6,6,5,6,6,5,3,3,5,4,3,5
"Case 445","Male","Country A",6,4,6,3,4,4,5,4,5,5,5,6,3,3,5,3,3,5
"Case 446","Male","Country B",5,5,4,4,3,6,7,3,6,5,4,6,2,4,4,3,2,3
"Case 447","Female","Country C",8,4,6,4,4,4,5,4,4,6,6,5,3,2,4,3,4,4
"Case 448","Female","Country C",5,5,5,4,3,4,6,6,4,6,5,6,2,3,4,3,3,4
"Case 449","Female","Country A",5,5,5,4,4,4,5,6,6,5,5,5,2,3,5,3,3,4
"Case 450","Male","Country A",5,5,6,5,5,5,6,4,6,6,6,4,3,2,6,4,3,4
"Case 451","Female","Country C",5,5,5,5,5,4,6,5,5,5,6,5,2,3,4,3,3,4
"Case 452","Female","Country A",6,5,6,5,4,4,5,6,5,4,6,5,3,2,4,3,3,4
"Case 453","Male","Country C",6,5,5,5,5,4,4,5,5,5,6,5,3,2,5,4,3,5
"Case 454","Female","Country C",5,6,6,5,5,5,7,5,6,6,6,6,3,3,5,3,4,5
"Case 455","Male","Country A",6,5,5,4,5,2,4,7,4,7,7,5,3,3,5,3,3,4
"Case 456","Female","Country A",6,5,6,4,4,4,6,5,5,6,8,5,2,3,4,3,3,4
"Case 457","Female","Country A",6,5,6,5,4,4,6,5,5,5,5,5,3,2,5,3,5,5
"Case 458","Male","Country A",7,5,6,4,4,3,4,5,5,6,4,7,2,3,5,3,2,4
"Case 459","Female","Country B",5,6,6,5,6,5,6,5,6,6,6,4,3,3,4,3,3,5
"Case 460","Male","Country C",6,6,5,4,5,4,5,5,6,5,6,5,2,3,4,3,3,4
"Case 461","Male","Country C",5,5,5,5,6,6,6,4,6,6,7,5,3,2,6,4,4,5
"Case 462","Female","Country B",6,6,7,4,4,4,5,6,6,6,5,5,3,3,5,3,4,5
"Case 463","Male","Country B",5,4,6,5,4,4,6,6,5,6,6,6,3,3,5,3,4,4
"Case 464","Male","Country C",6,4,7,5,5,4,6,6,5,7,6,6,3,2,5,3,4,5
"Case 465","Male","Country A",6,5,6,3,5,4,5,5,5,5,6,6,3,3,5,3,3,4
"Case 466","Female","Country C",5,7,4,4,4,5,7,5,6,6,6,4,3,3,5,4,3,6
"Case 467","Female","Country C",5,5,3,4,4,4,5,5,5,5,6,6,4,3,6,3,3,4
"Case 468","Female","Country A",6,4,5,4,5,4,5,4,5,6,6,4,3,3,5,4,4,6
"Case 469","Female","Country A",5,5,7,5,5,4,6,5,5,6,5,5,2,3,3,3,2,4
"Case 470","Female","Country B",6,5,7,4,4,5,5,4,5,6,6,5,3,3,6,4,4,4
"Case 471","Female","Country B",6,4,6,5,5,4,6,4,5,5,5,6,3,3,4,3,3,4
"Case 472","Male","Country C",5,4,8,4,4,3,5,6,5,6,6,5,3,3,5,4,3,5
"Case 473","Female","Country A",5,5,5,5,4,4,7,4,5,6,6,5,3,3,4,2,4,4
"Case 474","Female","Country A",6,5,8,5,5,5,6,4,6,6,6,4,3,2,6,4,4,5
"Case 475","Male","Country B",6,5,6,5,6,4,7,4,5,7,6,5,3,2,4,3,4,5
"Case 476","Male","Country A",5,5,7,5,4,4,5,6,5,4,5,6,2,3,4,3,2,4
"Case 477","Female","Country A",6,5,6,4,3,4,4,5,5,5,4,6,2,3,4,3,4,4
"Case 478","Male","Country A",6,4,5,5,4,4,5,5,5,4,6,5,3,3,4,3,3,5
"Case 479","Female","Country C",6,5,5,4,4,4,6,5,5,5,4,5,3,3,5,2,2,4
"Case 480","Male","Country A",5,4,6,4,5,4,5,5,5,6,5,5,2,3,4,2,3,4
"Case 481","Female","Country B",5,5,4,4,5,4,5,5,5,6,7,5,3,2,4,4,3,5
"Case 482","Male","Country B",6,5,6,4,6,4,6,4,5,7,6,5,3,3,4,3,3,3
"Case 483","Male","Country C",7,5,6,5,5,3,5,5,5,5,6,5,2,3,4,3,3,5
"Case 484","Male","Country A",5,4,6,4,5,5,6,4,6,5,6,5,3,2,5,2,2,4
"Case 485","Male","Country B",5,4,6,5,5,4,5,6,5,6,6,5,3,3,4,3,4,5
"Case 486","Male","Country B",6,5,6,5,6,4,5,5,5,7,7,4,2,4,4,4,3,6
"Case 487","Female","Country C",5,5,6,5,5,5,7,5,5,6,6,5,3,3,5,3,4,5
"Case 488","Male","Country B",6,5,7,5,5,4,6,6,5,6,5,6,3,4,4,3,3,4
"Case 489","Male","Country C",6,4,6,4,5,4,5,6,5,6,7,5,3,3,4,4,4,4
"Case 490","Female","Country A",5,6,3,5,5,4,6,4,5,6,7,5,4,2,5,4,4,5
"Case 491","Male","Country B",7,4,7,4,4,4,6,4,5,5,6,6,3,3,5,3,3,3
"Case 492","Female","Country C",5,4,5,4,4,5,6,5,6,5,5,5,3,3,4,3,3,4
"Case 493","Female","Country B",6,4,7,6,6,5,6,4,5,6,6,6,3,2,4,4,4,6
"Case 494","Male","Country B",6,5,7,5,5,4,7,4,5,6,6,4,4,2,6,4,5,4
"Case 495","Male","Country C",7,5,7,5,6,4,7,5,5,7,8,4,3,3,4,3,4,5
"Case 496","Female","Country A",6,5,5,4,5,5,6,5,6,6,5,5,2,4,4,3,3,4
"Case 497","Female","Country A",6,5,4,5,5,4,5,5,5,6,7,5,3,3,6,3,3,4
"Case 498","Male","Country B",5,6,4,4,4,4,7,5,5,6,5,6,3,3,4,3,2,4
"Case 499","Male","Country C",7,4,7,5,4,4,7,6,5,6,6,6,3,2,5,3,3,5
"Case 500","Female","Country C",6,5,7,4,4,5,5,5,6,6,5,6,3,3,5,3,4,4
